Year,Group,Home_name,Home_seed,Away_name,Away_seed,Home_score,Away_score
2010,E,Liverpool,1,Lyon,2,1,2
2010,E,Fiorentina,3,Debrecen,4,5,2
2010,E,Lyon,2,Liverpool,1,1,1
2010,E,Debrecen,4,Liverpool,1,0,1
2010,E,Fiorentina,3,Lyon,2,1,0
2010,E,Liverpool,1,Fiorentina,3,1,2
2010,E,Lyon,2,Debrecen,4,4,0
2010,F,Inter,2,Barcelona,1,0,0
2010,F,Kyiv,3,Kazan,4,3,1
2010,F,Kazan,4,Inter,2,1,1
2010,F,Barcelona,1,Kyiv,3,2,0
2010,F,Barcelona,1,Kazan,4,1,2
2010,F,Inter,2,Kyiv,3,2,2
2010,F,Kazan,4,Barcelona,1,0,0
2010,F,Kyiv,3,Inter,2,1,2
2010,F,Kazan,4,Kyiv,3,0,0
2010,F,Barcelona,1,Inter,2,2,0
2010,F,Inter,2,Kazan,4,2,0
2010,F,Kyiv,3,Barcelona,1,1,2
2010,G,Stuttgart,3,Rangers,2,1,1
2010,G,Sevilla,1,Urziceni,4,2,0
2010,G,Urziceni,4,Stuttgart,3,1,1
2010,G,Rangers,2,Sevilla,1,1,4
2010,G,Rangers,2,Urziceni,4,1,4
2010,G,Stuttgart,3,Sevilla,1,1,3
2010,G,Urziceni,4,Rangers,2,1,1
2010,G,Sevilla,1,Stuttgart,3,1,1
2010,G,Rangers,2,Stuttgart,3,0,2
2010,G,Urziceni,4,Sevilla,1,1,0
2010,G,Stuttgart,3,Urziceni,4,3,1
2010,G,Sevilla,1,Rangers,2,1,0
2010,H,Olympiacos,3,AZ,2,1,0
2010,H,Liege,4,Arsenal,1,2,3
